ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0046598	Positive Regulation Of Viral Entry Into Host Cell	3/241	12/28943	0.000118664	0.000964265	0.000676221	Cd4/Cd74/Trim30a	3
GO:0075294	Positive Regulation By Symbiont Of Entry Into Host	3/241	12/28943	0.000118664	0.000964265	0.000676221	Cd4/Cd74/Trim30a	3
GO:0019730	Antimicrobial Humoral Response	8/241	177/28943	0.000125164	0.001011545	0.000709377	Cxcl13/Ccl20/Ppbp/Cxcl3/Cxcl1/Cxcl9/Cxcl10/Jchain	8
GO:0051235	Maintenance Of Location	11/241	341/28943	0.000147966	0.00118293	0.000829566	Lck/Cyba/Cd4/C3/Tnf/Ptprc/Cxcl9/Coro1a/Cxcl10/Zc3h12a/Cops9	11
GO:0060760	Positive Regulation Of Response To Cytokine Stimulus	5/241	61/28943	0.000156233	0.001232413	0.000864268	Sting1/Cd74/Laptm5/Cxcr4/Mmp12	5
GO:0071356	Cellular Response To Tumor Necrosis Factor	8/241	183/28943	0.000157444	0.001238671	0.000868657	Cd40/Tnf/Ccl20/Laptm5/Birc3/Ccl7/Aim2/Zc3h12a	8
GO:0032102	Negative Regulation Of Response To External Stimulus	12/241	407/28943	0.000172223	0.001337209	0.000937759	Tnfaip3/Cxcl13/Tnf/Siglecg/Ets1/Foxp3/Il22ra2/Mmp12/Nlrc3/Gpr18/Slamf8/Cnr2	12
GO:0002532	Production Of Molecular Mediator Involved In Inflammatory Response	6/241	99/28943	0.000183956	0.001409854	0.000988704	Tnf/Cd6/Chid1/Zc3h12a/Nlrc3/Slamf8	6
GO:0060263	Regulation Of Respiratory Burst	3/241	14/28943	0.000193929	0.001478646	0.001036946	Rac2/Slamf8/Jchain	3
GO:0030865	Cortical Cytoskeleton Organization	5/241	64/28943	0.000196216	0.00148843	0.001043808	Nckap1l/Tnf/Rhoh/Rac2/Fmnl1	5
GO:2000271	Positive Regulation Of Fibroblast Apoptotic Process	3/241	15/28943	0.000240922	0.001773141	0.00124347	Bid/Pmaip1/Btg1	3
GO:0001771	Immunological Synapse Formation	3/241	16/28943	0.000294699	0.002126712	0.001491423	Cd6/Prf1/Ccr7	3
GO:0002467	Germinal Center Formation	3/241	16/28943	0.000294699	0.002126712	0.001491423	Tnfaip3/Nfkb2/Klhl6	3
GO:1903169	Regulation Of Calcium Ion Transmembrane Transport	8/241	201/28943	0.000297695	0.002143114	0.001502926	Cyba/Cd4/Cxcl9/Coro1a/Cxcl10/Gimap3/Iapp/Tlr9	8
GO:0034612	Response To Tumor Necrosis Factor	8/241	202/28943	0.000307783	0.002205034	0.001546349	Cd40/Tnf/Ccl20/Laptm5/Birc3/Ccl7/Aim2/Zc3h12a	8
GO:0031334	Positive Regulation Of Protein-Containing Complex Assembly	8/241	203/28943	0.000318148	0.002267878	0.00159042	Bid/Ikzf1/Clu/Nckap1l/Cxcl13/Tnf/Icam1/Csf3	8
GO:0045428	Regulation Of Nitric Oxide Biosynthetic Process	5/241	73/28943	0.000363783	0.002550783	0.001788816	Clu/Tnf/Icam1/Gimap3/Zc3h12a	5
GO:2000377	Regulation Of Reactive Oxygen Species Metabolic Process	7/241	161/28943	0.000418546	0.002907274	0.002038817	Cyba/Tnf/Duoxa2/Cxcl1/Trim30a/Birc3/Zc3h12a	7
GO:0070588	Calcium Ion Transmembrane Transport	10/241	325/28943	0.000427465	0.002941674	0.00206294	Lck/Cyba/Cd4/Ptprc/Cxcl9/Coro1a/Cxcl10/Gimap3/Iapp/Tlr9	10
GO:0002544	Chronic Inflammatory Response	3/241	20/28943	0.000585341	0.003883943	0.002723736	Tnfaip3/Tnf/Foxp3	3
GO:0002577	Regulation Of Antigen Processing And Presentation	3/241	21/28943	0.000678714	0.004434067	0.003109528	Cd74/Ccr7/H2-Ob	3
GO:0006809	Nitric Oxide Biosynthetic Process	5/241	85/28943	0.000732794	0.00474556	0.003327972	Clu/Tnf/Icam1/Gimap3/Zc3h12a	5
GO:0050679	Positive Regulation Of Epithelial Cell Proliferation	8/241	232/28943	0.000767595	0.004949319	0.003470864	Cyba/Tnfaip3/Tnf/Itga4/Ptn/Ppp1r16b/Pik3cd/Mmp12	8
GO:0045661	Regulation Of Myoblast Differentiation	5/241	86/28943	0.000772816	0.004967127	0.003483352	Sox8/Tnf/Cxcl9/Cxcl10/Btg1	5
GO:0043087	Regulation Of Gtpase Activity	10/241	351/28943	0.000773706	0.004967127	0.003483352	Cd40/Cxcl13/Ccl20/Dock11/Vav1/Ccl7/Icam1/Ccr7/Arhgap15/Rasal3	10
GO:0060009	Sertoli Cell Development	3/241	22/28943	0.000781066	0.005003549	0.003508895	Sox8/Il1a/Icam1	3
GO:0140632	Inflammasome Complex Assembly	3/241	24/28943	0.001014016	0.006358505	0.0044591	Trim30a/Aim2/Nlrc3	3
GO:0003158	Endothelium Development	6/241	138/28943	0.001078401	0.006705527	0.00470246	Tnf/Cxcl10/Btg1/Icam1/Ppp1r16b/Cxcr4	6
GO:2001057	Reactive Nitrogen Species Metabolic Process	5/241	93/28943	0.001100305	0.006827413	0.004787937	Clu/Tnf/Icam1/Gimap3/Zc3h12a	5
GO:1901739	Regulation Of Myoblast Fusion	3/241	25/28943	0.001145243	0.007076646	0.004962718	Cxcl9/Cxcl10/Cd53	3
GO:0010632	Regulation Of Epithelial Cell Migration	8/241	248/28943	0.001178252	0.007265476	0.005095142	Cd40/Cxcl13/Tnf/Glipr2/Ets1/Pik3cd/Ccr6/Zc3h12a	8
GO:0051341	Regulation Of Oxidoreductase Activity	5/241	95/28943	0.001210328	0.007447785	0.005222991	Cyba/Tnf/Il1a/Slamf8/Cnr2	5
GO:0043299	Leukocyte Degranulation	5/241	101/28943	0.001589355	0.009484966	0.006651628	Blk/Nckap1l/Coro1a/Lat/Rac2	5
GO:0048771	Tissue Remodeling	7/241	203/28943	0.001625999	0.009633153	0.006755549	Inpp5d/Itga4/Il1a/Ptn/Rac2/Ctss/Iapp	7
GO:0043547	Positive Regulation Of Gtpase Activity	8/241	261/28943	0.001627178	0.009633153	0.006755549	Cd40/Cxcl13/Ccl20/Dock11/Vav1/Ccl7/Icam1/Ccr7	8
GO:0019233	Sensory Perception Of Pain	6/241	150/28943	0.001652661	0.009764526	0.006847678	Il1a/Ctss/Iapp/Cxcr4/Gpr171/Cnr2	6
GO:0090200	Positive Regulation Of Release Of Cytochrome C From Mitochondria	3/241	30/28943	0.001960595	0.011335529	0.007949393	Bid/Pmaip1/Tnfsf10	3
GO:0044346	Fibroblast Apoptotic Process	3/241	33/28943	0.002586811	0.014503745	0.010171204	Bid/Pmaip1/Btg1	3
GO:0035308	Negative Regulation Of Protein Dephosphorylation	3/241	34/28943	0.002819856	0.015691729	0.011004315	Nckap1l/Tnf/Ppp1r16b	3
GO:0035025	Positive Regulation Of Rho Protein Signal Transduction	3/241	35/28943	0.003065427	0.01671334	0.011720751	Gpr18/P2ry10/Gpr174	3
GO:0045445	Myoblast Differentiation	5/241	119/28943	0.003248968	0.017462525	0.01224614	Sox8/Tnf/Cxcl9/Cxcl10/Btg1	5
GO:0048709	Oligodendrocyte Differentiation	5/241	119/28943	0.003248968	0.017462525	0.01224614	Clu/Sox8/Mal/Ptn/Cxcr4	5
GO:1905330	Regulation Of Morphogenesis Of An Epithelium	4/241	73/28943	0.003255825	0.017462525	0.01224614	Sox8/Tnf/Cxcl10/Pik3cd	4
GO:0008045	Motor Neuron Axon Guidance	3/241	36/28943	0.003323737	0.017698752	0.012411802	Rhoh/Rac2/Cxcr4	3
GO:0097242	Amyloid-Beta Clearance	3/241	36/28943	0.003323737	0.017698752	0.012411802	Clu/C3/Tnf	3
GO:0045446	Endothelial Cell Differentiation	5/241	120/28943	0.003367669	0.01790055	0.012553319	Tnf/Btg1/Icam1/Ppp1r16b/Cxcr4	5
GO:0002357	Defense Response To Tumor Cell	2/241	11/28943	0.003614085	0.018741691	0.013143195	Laptm5/Prf1	2
GO:2000320	Negative Regulation Of T-Helper 17 Cell Differentiation	2/241	11/28943	0.003614085	0.018741691	0.013143195	Foxp3/Zc3h12a	2
GO:0033674	Positive Regulation Of Kinase Activity	10/241	440/28943	0.00402597	0.020587978	0.014437962	Axin2/Cd40/Clu/Cd4/Tnf/Cd74/Ptprc/Lat/Ccr7/Tlr9	10
GO:0045453	Bone Resorption	4/241	79/28943	0.004323825	0.021553721	0.015115219	Inpp5d/Rac2/Ctss/Iapp	4
GO:0071347	Cellular Response To Interleukin-1	4/241	79/28943	0.004323825	0.021553721	0.015115219	Cd40/Ccl20/Ccl7/Zc3h12a	4
GO:0006568	Tryptophan Metabolic Process	2/241	13/28943	0.005069507	0.024977004	0.017515903	Kynu/Il4i1	2
GO:0006586	Indolalkylamine Metabolic Process	2/241	13/28943	0.005069507	0.024977004	0.017515903	Kynu/Il4i1	2
GO:2000347	Positive Regulation Of Hepatocyte Proliferation	2/241	13/28943	0.005069507	0.024977004	0.017515903	Tnfaip3/Ptn	2
GO:0002444	Myeloid Leukocyte Mediated Immunity	5/241	133/28943	0.005207956	0.025531897	0.017905039	Blk/C3/Cxcl1/Lat/Rac2	5
GO:0051259	Protein Complex Oligomerization	7/241	253/28943	0.005480325	0.026734614	0.018748482	Sting1/Cd74/Ms4a1/Prf1/Nlrc4/Iapp/Zc3h12a	7
GO:0000018	Regulation Of Dna Recombination	5/241	135/28943	0.005543595	0.026998856	0.01893379	Cd40/Cd28/Ptprc/Foxp3/H1f0	5
GO:0014015	Positive Regulation Of Gliogenesis	4/241	86/28943	0.005841774	0.02818468	0.019765386	Sox8/Tnf/Ptn/Cxcr4	4
GO:0050918	Positive Chemotaxis	3/241	44/28943	0.005871707	0.02818468	0.019765386	Il16/Coro1a/Ccr4	3
GO:0001660	Fever Generation	2/241	14/28943	0.005882103	0.02818468	0.019765386	Tnf/Il1a	2
GO:0055074	Calcium Ion Homeostasis	8/241	324/28943	0.006021666	0.028806871	0.020201717	Lck/Cyba/Cd40/Ptprc/Cxcl9/Coro1a/S100b/Cxcl10	8
GO:0032874	Positive Regulation Of Stress-Activated Mapk Cascade	5/241	138/28943	0.006075274	0.029016525	0.020348743	Slamf1/Tnf/Il1a/Zc3h12a/Scimp	5
GO:0019058	Viral Life Cycle	7/241	261/28943	0.006464596	0.030580529	0.02144555	Cd4/Tnf/Cd74/Trim30a/Icam1/Aicda/Zc3h12a	7
GO:0006957	Complement Activation, Alternative Pathway	2/241	15/28943	0.006749977	0.031577967	0.022145034	C3/Cr2	2
GO:0002347	Response To Tumor Cell	3/241	48/28943	0.007483863	0.034737303	0.024360617	Laptm5/Prf1/Il4i1	3
GO:0006968	Cellular Defense Response	2/241	16/28943	0.007672159	0.03517098	0.024664747	Sh2d1a/Lat	2
GO:0009074	Aromatic Amino Acid Family Catabolic Process	2/241	16/28943	0.007672159	0.03517098	0.024664747	Kynu/Il4i1	2
GO:0061042	Vascular Wound Healing	2/241	16/28943	0.007672159	0.03517098	0.024664747	Tnf/Cxcr4	2
GO:1903799	Negative Regulation Of Production Of Mirnas Involved In Gene Silencing By Mirna	2/241	16/28943	0.007672159	0.03517098	0.024664747	Tnf/Zc3h12a	2
GO:0035305	Negative Regulation Of Dephosphorylation	3/241	50/28943	0.008378386	0.037997388	0.026646854	Nckap1l/Tnf/Ppp1r16b	3
GO:0070555	Response To Interleukin-1	4/241	96/28943	0.008570068	0.038396794	0.026926949	Cd40/Ccl20/Ccl7/Zc3h12a	4
GO:0010524	Positive Regulation Of Calcium Ion Transport Into Cytosol	2/241	17/28943	0.008647693	0.038396794	0.026926949	Cd4/Gimap3	2
GO:0048853	Forebrain Morphogenesis	2/241	17/28943	0.008647693	0.038396794	0.026926949	Gdf7/Duox2	2
GO:0060100	Positive Regulation Of Phagocytosis, Engulfment	2/241	17/28943	0.008647693	0.038396794	0.026926949	Nckap1l/C3	2
GO:0061158	3'-Utr-Mediated Mrna Destabilization	2/241	17/28943	0.008647693	0.038396794	0.026926949	Zc3h12d/Zc3h12a	2
GO:1905155	Positive Regulation Of Membrane Invagination	2/241	17/28943	0.008647693	0.038396794	0.026926949	Nckap1l/C3	2
GO:0090559	Regulation Of Membrane Permeability	4/241	98/28943	0.009200317	0.040607351	0.028477171	Bid/Pmaip1/Laptm5/Gimap3	4
GO:0072666	Establishment Of Protein Localization To Vacuole	3/241	52/28943	0.009333084	0.040889109	0.028674763	Tnfaip3/Clu/Laptm5	3
GO:0016311	Dephosphorylation	8/241	351/28943	0.009523039	0.041613357	0.029182664	Nckap1l/Tnf/Inpp5d/Ptprc/Dusp2/Ptpn7/Ppp1r16b/Fbp1	8
GO:0043217	Myelin Maintenance	2/241	18/28943	0.009675634	0.041833719	0.0293372	Clu/Cxcr4	2
GO:1900221	Regulation Of Amyloid-Beta Clearance	2/241	18/28943	0.009675634	0.041833719	0.0293372	Clu/Tnf	2
GO:0022612	Gland Morphogenesis	5/241	157/28943	0.010298978	0.044142728	0.030956464	Tnfaip3/Tnf/Ptn/Gdf7/Duox2	5
GO:0031331	Positive Regulation Of Cellular Catabolic Process	9/241	431/28943	0.010512053	0.04492615	0.031505864	Axin2/Bid/Clu/Sting1/Tnf/Laptm5/Trim30a/Zc3h12d/Zc3h12a	9
GO:0043652	Engulfment Of Apoptotic Cell	2/241	19/28943	0.010755049	0.045183393	0.031686263	Rhoh/Rac2	2
GO:0045779	Negative Regulation Of Bone Resorption	2/241	19/28943	0.010755049	0.045183393	0.031686263	Inpp5d/Iapp	2
GO:0045837	Negative Regulation Of Membrane Potential	2/241	19/28943	0.010755049	0.045183393	0.031686263	Pmaip1/Ptn	2
GO:0060340	Positive Regulation Of Type I Interferon-Mediated Signaling Pathway	2/241	19/28943	0.010755049	0.045183393	0.031686263	Sting1/Mmp12	2
GO:0060965	Negative Regulation Of Gene Silencing By Mirna	2/241	19/28943	0.010755049	0.045183393	0.031686263	Tnf/Zc3h12a	2
GO:1902004	Positive Regulation Of Amyloid-Beta Formation	2/241	19/28943	0.010755049	0.045183393	0.031686263	Clu/Tnf	2
GO:0030838	Positive Regulation Of Actin Filament Polymerization	3/241	55/28943	0.010879659	0.045577782	0.031962841	Nckap1l/Icam1/Csf3	3
GO:0010810	Regulation Of Cell-Substrate Adhesion	6/241	225/28943	0.011685244	0.048746041	0.034184681	Ptn/Plekha2/Cd3e/Rac2/Mmp12/Muc21	6
GO:0003159	Morphogenesis Of An Endothelium	2/241	20/28943	0.011885017	0.04889176	0.034286872	Cxcl10/Cxcr4	2
GO:0060221	Retinal Rod Cell Differentiation	2/241	20/28943	0.011885017	0.04889176	0.034286872	Sox8/Ptn	2
GO:0061154	Endothelial Tube Morphogenesis	2/241	20/28943	0.011885017	0.04889176	0.034286872	Cxcl10/Cxcr4	2
GO:0090594	Inflammatory Response To Wounding	2/241	20/28943	0.011885017	0.04889176	0.034286872	Il1a/Siglecg	2
GO:0035458	Cellular Response To Interferon-Beta	3/241	57/28943	0.011988046	0.049179178	0.034488432	Sting1/Aim2/Ifi209	3
